run,mode,ttfb,dcl,lcp,bootMs,reqTotal,apiCount,errCount,g_gates,g_ms,g_ldr,g_mile,g_lb,g_wl
1,cold,2235,2475,NA,2355,34,4,0,9,8,8,3,1
2,cold,2423,2586,NA,3190,34,4,0,9,7,7,2,1
3,cold,2183,2287,NA,2350,34,4,0,8,7,6,2,1
4,cold,2355,2406,NA,2353,34,4,0,8,7,6,2,1
5,cold,2256,2324,NA,1922,34,4,0,7,5,5,2,1
6,warm,1917,3873,NA,1920,34,4,0,6,5,4,1,0
7,warm,2435,3645,NA,2242,34,4,0,9,6,7,2,1
8,warm,2481,2529,NA,2386,34,4,0,9,7,7,2,1
9,warm,2676,2725,NA,13814,34,4,0,10,9,7,2,1
10,warm,2214,2286,NA,2243,34,4,0,7,6,7,2,1
